"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ELP2",2589.53319270923,-0.329211759069828,0.0491868987554833,-6.69307818544116,2.18524305274483e-11,2.65784281345783e-10
"KRT6A",69093.6335991854,0.320112575707053,0.0478329296735155,6.69230544505611,2.19681717484187e-11,2.67043730382415e-10
"AC012181.2",48.0256667998876,2.02903234305243,0.303192900229336,6.69221588473103,2.19816248612547e-11,2.67059064107479e-10
"KPRP",42.4571789903036,2.56470929091243,0.383253810796395,6.69193421869182,2.20239873169548e-11,2.67425411406815e-10
"ZC4H2",326.858453158515,0.778562476645496,0.116351418875845,6.69147384851643,2.20933989397694e-11,2.68119614280138e-10
"RFC4",1474.18004509743,0.453010929928168,0.067770504613154,6.68448512393458,2.31737939749243e-11,2.81075280742369e-10
"IGF1R",6464.27849740643,0.397507904934381,0.059479700684442,6.68308515947789,2.33963520919691e-11,2.83617649460201e-10
"GRAMD2B",1674.26081628387,0.446835223656607,0.0668630218774547,6.68284518273132,2.34347116941514e-11,2.83925530785611e-10
"ALG1",1040.03058858622,0.495258092055403,0.0741262253863834,6.68128033599265,2.36863620747268e-11,2.86815788417297e-10
"GET1",594.420142203547,0.781112352795246,0.116919793215058,6.68075379981641,2.37716301821653e-11,2.87689259193553e-10
"AC078881.1",240.84667396537,-0.880552264885825,0.131809583959982,-6.68048740031807,2.38148857459639e-11,2.8805360147175e-10
"TMSB10",62535.0307667136,0.415980181534683,0.0622933533910223,6.67776189417078,2.42618793955321e-11,2.93298271610999e-10
"TMEM128",747.625881563288,-0.493408485420662,0.073891969211384,-6.67743045268099,2.43167940722793e-11,2.93799985743672e-10
"FSTL1",11956.6296790124,0.286639678405837,0.0429303694415223,6.67685095969844,2.44130994963778e-11,2.94800961669325e-10
"HOOK1",1523.14196551992,0.672198656782569,0.100683801754019,6.67633368101076,2.44993809130661e-11,2.95679856143644e-10
"IFI44",64.9298611814889,-2.20355664731375,0.330239385199372,-6.67260401415601,2.51303814539977e-11,3.03128307130957e-10
"PCBD2",424.453615490812,-0.645564574178744,0.096761276496139,-6.67172444965113,2.52814925078544e-11,3.04783210448294e-10
"AKTIP",743.949682109245,-0.565521048060015,0.0847799162972641,-6.67046008959394,2.55002716497832e-11,3.07251622930969e-10
"ARHGEF25",18.3893634381251,3.74866689902843,0.56204177257957,6.66973004839728,2.56274375203421e-11,3.0861408404788e-10
"AC093908.1",22.3141855925824,-8.12815566172492,1.21887671154719,-6.66856260745797,2.58320852241142e-11,3.10907597161661e-10
"GINS4",1452.34835729734,0.457704880209318,0.0686457041632166,6.66764054340601,2.59948492414948e-11,3.12694768058728e-10
"E2F3",1181.48976819056,0.501732586912209,0.0752675142206819,6.66599119297531,2.62885023917132e-11,3.16053592146256e-10
"H1-0",7700.9550015659,0.375092409908513,0.0562854660367331,6.66410774077485,2.66278077125128e-11,3.19957283566973e-10
"PRR11",6070.16462601965,0.357188350120922,0.0536267939950693,6.66063218610017,2.72652214285514e-11,3.27436773789704e-10
"YPEL5",2561.63422329377,-0.439597695175381,0.0660339039669863,-6.65715138385818,2.79185593835702e-11,3.35099201806633e-10
"NF2",3833.40783137651,0.490400022148201,0.0736679851105547,6.65689473401845,2.79673339630145e-11,3.35500794337258e-10
"C17orf75",1018.38872455501,-0.455572645775082,0.0684423463969322,-6.65629788804993,2.80810832709849e-11,3.36680968281841e-10
"SERPINB5",20267.7594726982,0.322668392270247,0.0484773948292179,6.656058837464,2.81267693929629e-11,3.3704424702016e-10
"HIVEP1",1987.65207285406,-0.577325232483396,0.0868413130496216,-6.64804817211261,2.97005110881142e-11,3.55707870631571e-10
"FBXL18",2418.00379176941,0.505593135372135,0.0760663881511904,6.64673514361182,2.99665549636707e-11,3.58526633709498e-10
"IL24",38.6191402908494,2.08921914744161,0.314323087461878,6.64672507613681,2.99686038037932e-11,3.58526633709498e-10
"SLC38A2",29872.5555920905,-0.5533888770162,0.0833746720862565,-6.63737395505056,3.19320808965618e-11,3.81807986920953e-10
"CAMK2N1",5371.18129085301,0.344289144185545,0.0518737596202665,6.6370578632792,3.20006052864194e-11,3.82210064775909e-10
"ZNF711",15.1020330597548,8.16658978986415,1.23044451840261,6.63710526376775,3.19903203413385e-11,3.82210064775909e-10
"TCERG1",5227.80490189452,0.444059335786035,0.0669596378739553,6.63174637565889,3.31738242912284e-11,3.96006877983302e-10
"CHIC2",1168.24213059147,-0.479126272950606,0.0722599057458415,-6.63059642834061,3.34333176684056e-11,3.98887158783455e-10
"ASF1A",1087.21084346186,-0.556066181777894,0.0839080218793677,-6.62709201484138,3.42364239440222e-11,4.08246525037456e-10
"LINC00707",53.6784626387425,1.70335761030164,0.25703420504171,6.62696861697932,3.42650444339859e-11,4.08350750117747e-10
"ZNF502",25.6435464385954,-8.11435636707879,1.22445852024303,-6.6268936292495,3.42824482751215e-11,4.08350750117747e-10
"COX7B",2073.16443099362,0.474498871791928,0.0716666078200518,6.62091992666027,3.56970311052063e-11,4.24969275195404e-10
"GNG4",46.7896491035068,-2.10015474077683,0.317308516788721,-6.61865228841372,3.6248835570067e-11,4.3130404299963e-10
"HERC6",461.940982134997,-0.670473805160939,0.101372037647615,-6.61399159688998,3.74092985057603e-11,4.44870078050315e-10
"ADCY10P1",113.706518242031,1.14259401827693,0.172779844083767,6.61300526306168,3.7659505947471e-11,4.47602538133126e-10
"TK1",4181.61684598152,0.539764681127438,0.0816328039348837,6.61210512330306,3.78892768815681e-11,4.50089267945092e-10
"SLC48A1",460.520315652873,-0.588158879669138,0.0889583207143956,-6.61162300441176,3.80129067839734e-11,4.51313129053083e-10
"XYLT1",2093.78832155513,0.487154437175304,0.073808640553373,6.60023587377998,4.10504127907732e-11,4.87112292622908e-10
"SAMD9L",395.941716649203,-1.04400969354212,0.158184027760106,-6.59996908869595,4.11243518799237e-11,4.87725461791948e-10
"MYBL2",4294.85841655118,0.475766146749176,0.0720880971890395,6.59978783323348,4.11746608867792e-11,4.88057871604382e-10
"MID1IP1",3426.02937189537,-0.510745723253212,0.0774108373178449,-6.59785814169812,4.17140105671451e-11,4.94183559477184e-10
"ZKSCAN5",1146.54477946234,-0.431818694746493,0.0654782634825287,-6.59484036044593,4.25713689809461e-11,5.04068020285203e-10
"LINC01687",14.2694006178761,4.29986013292135,0.652386197872029,6.59097348617544,4.36951923463648e-11,5.17095185492772e-10
"FKBP5",8391.17908101668,-0.350103322194607,0.0531482093619629,-6.58730230797143,4.47889748082036e-11,5.29752966076512e-10
"SMIM30",1801.7603104596,0.516505856321758,0.0784189399475251,6.58649373056285,4.50334562244289e-11,5.32357182188944e-10
"VLDLR-AS1",51.4291856302704,-2.04619209516101,0.310732786905522,-6.58505372264805,4.54720941251657e-11,5.37252546824032e-10
"RAB5A",2928.1110674764,-0.488774358549221,0.074249405897449,-6.58287231583107,4.61445413538332e-11,5.44812018977377e-10
"SMG1",7038.87707946184,-0.5531610970472,0.0840310584953749,-6.58281719821066,4.61616574855974e-11,5.44812018977377e-10
"CCNA1",53.203658276093,-1.67303928024044,0.254295804738078,-6.57910688681497,4.73282461953838e-11,5.58279608459818e-10
"VRK2",1490.83085108875,-0.688477270387811,0.104650603984133,-6.57881793488928,4.7420298943042e-11,5.59064396311806e-10
"NDUFB4",2747.16442356378,0.394410862578915,0.0599576157592338,6.57816121579474,4.76301649084229e-11,5.61236558536312e-10
"SUPV3L1",1176.32674446027,-0.410883937864947,0.0624937126591262,-6.57480441442365,4.87171628992867e-11,5.73736265219825e-10
"TPM2",3837.90273671969,-0.513773867087102,0.0781502589055435,-6.57417997435012,4.89220290267646e-11,5.75839358318796e-10
"LGR4",2046.83899066591,0.464157857235364,0.0706479322851263,6.57001333545164,5.03107559923805e-11,5.9186740602207e-10
"DDIT3",735.102855353766,-0.674356723739491,0.102699708137237,-6.56629639919083,5.1582093249746e-11,6.06497988532306e-10
"TMEM231",360.539165517298,-0.777152841452925,0.118358718766102,-6.56608021407125,5.1656996344113e-11,6.07052845985942e-10
"LMTK2",2040.44061777953,0.399505846886293,0.0608458013230421,6.5658737036799,5.17286467328201e-11,6.07568904387359e-10
"PGP",1199.87089727458,0.584205614651765,0.0889873451655409,6.56504150747483,5.20183702706343e-11,6.10644373407419e-10
"SNAPC5",359.085380091763,-0.689405171291812,0.105039535423739,-6.56329227381564,5.2632538836731e-11,6.17523172586284e-10
"AC055811.4",609.621274839552,0.5465003514587,0.0832810204386885,6.56212362168442,5.30468077921509e-11,6.22050495014489e-10
"TP53",2858.7008082837,-0.447813592975308,0.0682748871515164,-6.55897961400529,5.41772075647905e-11,6.34966148585733e-10
"SH3TC2",739.134033137979,0.614320603128168,0.0936784964692449,6.55775472794712,5.46239535828695e-11,6.39605936794457e-10
"URB1",6673.59972693277,0.415357484686225,0.0633385670453358,6.55773415885655,5.4631486315564e-11,6.39605936794457e-10
"CCNG1",10126.5324267958,0.380511730143055,0.0580388647436019,6.55615391210769,5.52132460851344e-11,6.46071664260079e-10
"SERTAD4",21.595885879264,3.92274610956955,0.598405285401403,6.55533332553743,5.55177268386517e-11,6.49287670261968e-10
"RAB32",1710.08719942683,-0.416237647882185,0.0634988241622246,-6.55504496931778,5.56251116595906e-11,6.50196409233369e-10
"TAF5",491.00029342577,0.610146488617718,0.093103682010931,6.55340879586355,5.62382862357041e-11,6.57013151996319e-10
"MRPS10",3806.30458835988,-0.382406693879644,0.0583748893587021,-6.55087655121418,5.72003303260251e-11,6.67896181125575e-10
"DYM",2256.85663371712,-0.371420372861489,0.05671523970344,-6.54886367056932,5.79765258520202e-11,6.76598720718436e-10
"AC010615.1",22.2790102677859,3.14556918821577,0.480455029741734,6.54706266662803,5.86797451919499e-11,6.84440797885869e-10
"FAM207A",877.996855010568,-0.569626043470128,0.087009173742178,-6.54673546444678,5.88083969565599e-11,6.85576335994383e-10
"STARD9",364.686752361636,0.728551947631603,0.111326668539995,6.54427153157702,5.97860854716027e-11,6.96603299072051e-10
"HINT3",1158.22374159976,-0.585485925504792,0.0895300216546726,-6.53954857470132,6.17047987990735e-11,7.18577149225787e-10
"ZNF107",307.81243629177,1.15148755917885,0.176101372611156,6.53877674038017,6.2024031819309e-11,7.21910954836325e-10
"NUDT18",375.448614986785,-0.870708710912757,0.133227277459411,-6.53551380405582,6.33915346784469e-11,7.37435776490377e-10
"MAL2",35.1794593203676,-2.55880688196273,0.391546368828059,-6.53513117647221,6.35538136437696e-11,7.38931150672385e-10
"LMNB2",13171.6951099718,0.392552164504603,0.0600915397296097,6.53256958085857,6.46507441698481e-11,7.51286233973753e-10
"LPAR3",1468.60762899979,-0.447223600093918,0.0684654561957243,-6.53210575002124,6.48513369896414e-11,7.5321767590567e-10
"TSPAN14",6471.79658376585,0.411019840368108,0.0629320507000515,6.53116870967898,6.52584374121502e-11,7.57544288030287e-10
"ARHGDIA",16789.4460342163,0.407967242579934,0.062466938926403,6.53093059451161,6.53622849931451e-11,7.5834790930871e-10
"SENP2",2492.86249471813,0.363796288171013,0.0557067062351297,6.53056539791607,6.55218698577496e-11,7.59797013887774e-10
"NSUN5",1206.64231813791,-0.467979888010766,0.071690249539138,-6.52780386480982,6.67410123494583e-11,7.73524801859727e-10
"PDE12",1881.84532892844,0.430662216953227,0.0659943728114496,6.52574149289453,6.76659377354705e-11,7.83829913323893e-10
"CDC7",993.249368027819,0.654700721380207,0.100332302431097,6.52532340548869,6.7854962574522e-11,7.85604098940225e-10
"NUP50-DT",304.302633705575,-0.733762665701188,0.112450519502508,-6.52520476514851,6.79086960067742e-11,7.85810874816899e-10
"NR3C1",7318.70080842442,-0.488792354284897,0.0749330813795238,-6.52305157196517,6.88911618269447e-11,7.96758658827468e-10
"ARF3",7374.74184031341,0.284202501606182,0.0435791680372482,6.52152196579951,6.95975265855746e-11,8.04503335016892e-10
"ZSCAN29",1497.35981572024,-0.375284653853447,0.0575729893970517,-6.51841528091062,7.10540493954787e-11,8.20906620257363e-10
"EXOC2",2921.91730987962,0.32670355399409,0.0501314535572039,6.51693758732321,7.17572646032534e-11,8.2859403328111e-10
"SDF2",979.092536874973,0.440013555517441,0.0675430729732705,6.51456228074745,7.29019297454936e-11,8.41368161788745e-10
"TASP1",999.379057784631,-0.491178192411249,0.0754494469989113,-6.51003038389845,7.51356059338033e-11,8.66690599252217e-10
"TARS3",424.532757602676,0.749399963625737,0.115155526722955,6.50772034093222,7.62997901107977e-11,8.7965626440896e-10
"AP3M2",816.461545795928,0.453708800400874,0.0697382062847624,6.50588571992004,7.72369282042244e-11,8.89992063289603e-10
"CYSTM1",1131.43808751533,-0.55940649007443,0.0860057295666486,-6.50429329409883,7.80594688583306e-11,8.98997195237504e-10
"DDX24",2306.95150850331,0.352987160419782,0.0542818835807304,6.50285393827212,7.88103100061177e-11,9.07057504116338e-10
"JDP2",343.737712564144,-1.00124575451224,0.153971643660033,-6.50279318134045,7.8842158769117e-11,9.07057504116338e-10
"ADIRF",613.514466751501,-0.641336007294619,0.0986549450557917,-6.50079939664382,7.98943117457775e-11,9.18679736898297e-10
"DTNA",80.8157560669588,1.73224822377698,0.266564477560957,6.49842109356396,8.11673479732228e-11,9.32828309209573e-10
"CUTA",1552.54938063093,0.489359212001842,0.0753264888461095,6.49650899037114,8.2205205545558e-11,9.44260633180623e-10
"DPYD",386.494872832434,-0.644953148165725,0.0993130441350644,-6.49414338048683,8.35071889907133e-11,9.58532972738194e-10
"FKBP1A",33188.9974470409,0.266795577647508,0.0410828094743349,6.49409281062386,8.35352405823881e-11,9.58532972738194e-10
"RNF7",1334.30375357747,-0.479889898976346,0.0739187316431056,-6.49212842684247,8.46320626264033e-11,9.70610121377678e-10
"SZRD1",7369.94858198249,0.379169903244989,0.0584061199713678,6.4919550114075,8.47295635419789e-11,9.71219826994793e-10
"FRMD4A",129.423325209903,-1.13201289374409,0.174386935777943,-6.49138588675902,8.50503199257115e-11,9.74386641199116e-10
"POLR3B",1200.44941633498,-0.452850924755569,0.069793489163403,-6.48844082999401,8.67292046805681e-11,9.93101530856166e-10
"L3MBTL3",881.174973562653,0.494045831560369,0.0761476981536972,6.48799429975128,8.69865704684381e-11,9.95528122315118e-10
"KCNK2",54.0273849348573,1.62946060096051,0.251223696248455,6.48609436646854,8.80900046994401e-11,1.00763005375521e-09
"CARMIL1",2181.6252127952,-0.392100210517284,0.0604801186780828,-6.48312567976782,8.98415976811213e-11,1.02712953925102e-09
"RSL24D1",5269.98906676014,-0.383440046926124,0.0591573994659214,-6.48169206874975,9.06996090230565e-11,1.036397984168e-09
"CCDC120",1409.45527518441,0.543234594134667,0.0838189676502926,6.48104610881318,9.10888271985827e-11,1.04030279446557e-09
"RAD9A",345.862691442414,0.692919498217328,0.106933225165986,6.47992704925665,9.1766976452903e-11,1.04750162543035e-09
"NRGN",577.220588175139,0.782474176772401,0.120760562146642,6.47955063195403,9.19961925881371e-11,1.04957114512664e-09
"TLL1",145.442375377092,1.19519452134745,0.184481780179079,6.47865886911573,9.25414602947316e-11,1.05524241944617e-09
"PEMT",503.719741969197,-0.6934199696019,0.107049188960448,-6.47758265462527,9.3203719627163e-11,1.06224114382571e-09
"RBM14",2051.16288816543,0.416458686630691,0.0643141472856689,6.47538223247951,9.45722255127322e-11,1.07727748302465e-09
"MANCR",169.832026814483,1.12766650455249,0.174168168761575,6.47458437767807,9.5073271454533e-11,1.08242204324924e-09
"NTNG1",175.085169082586,0.925928928287596,0.143050550075478,6.4727393763886,9.62418770202146e-11,1.09515756681964e-09
"KRAS",3924.5231139843,0.652032256331541,0.100740132592428,6.47241808753139,9.64468088783828e-11,1.09691970326115e-09
"BEX5",29.9758036027155,-2.47751463683422,0.382913925854009,-6.47016070598281,9.78987414398237e-11,1.11285517967791e-09
"HMCN1",154.782682169741,0.979851570998685,0.151574256218705,6.46449862557708,1.01635221111776e-10,1.15473004069162e-09
"DCTN4",5368.99816440802,-0.322055918279125,0.0498685481884844,-6.45809693640719,1.06027821717505e-10,1.20401214863761e-09
"KRT7",108018.018926303,0.376008252319631,0.0582286864459208,6.45744005695276,1.06488909646697e-10,1.20862153668958e-09
"ZMAT3",1943.44166910291,0.720072994723054,0.111523500813157,6.456692889595,1.07015757029612e-10,1.21397211689987e-09
"SPOP",2178.76198316254,-0.329530286209749,0.0510431012621774,-6.45592211408065,1.07561921075919e-10,1.21953617037682e-09
"PRMT9",484.128594556795,-0.610622654859955,0.0945954398077425,-6.45509610295164,1.08150249279984e-10,1.22557227650184e-09
"PKD2",1450.06134910894,0.525098293899704,0.081352945039039,6.45457018977891,1.08526469855153e-10,1.22919975293543e-09
"ARHGEF4",236.532559521742,-0.945162947760884,0.146439636763554,-6.45428361234585,1.08732015902802e-10,1.23089137382474e-09
