"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MET",14930.1362397464,-0.323860542763323,0.0858795968403746,-3.7710999431598,0.000162529557985719,0.000698814752041971
"BEX2",132.262462532351,-0.598867692804563,0.158875830148758,-3.76940716686632,0.000163635756668524,0.000703286997782621
"LINC00294",548.509342151293,0.302159248197286,0.0801602163721837,3.76944152438862,0.000163613234390298,0.000703286997782621
"MLLT10",1754.19761270714,-0.249959036910814,0.066324426088253,-3.76873275282039,0.000164078444224201,0.00070504732610948
"ZC3HAV1L",119.667142805746,0.71363187811681,0.189364783700376,3.76855645580838,0.000164194351787762,0.000705403049358921
"PSRC1",1367.86983597425,0.275233502336084,0.0730434878036393,3.76807721827285,0.000164509818930716,0.000706615793454726
"TMEM63C",56.9938258216276,-1.03206838747529,0.273948803678529,-3.7673768734044,0.000164971859885093,0.0007084574970988
"ARHGEF7",2238.46940653416,-0.239941453262323,0.0636904116517996,-3.76730887804747,0.000165016783660767,0.000708507545330583
"IGF2",6.92481836993792,4.45056478522814,1.18140351658142,3.76718430473827,0.000165099117720137,0.000708718163871809
"NCAPG",3891.92576456302,0.36182009805661,0.0960756194323101,3.76599287305693,0.000165888523799021,0.000711963321810549
"LINC01001",23.6953182842051,-1.39948899716875,0.371713300184396,-3.76496885227002,0.000166569844787428,0.000714743383959918
"TTYH2",16.5512129147118,-1.61313284710209,0.428677002706188,-3.76304965491168,0.000167853857585756,0.000720107927305856
"AC022182.3",44.9053016963756,0.993851950434832,0.264120207000837,3.76287737208869,0.000167969575353149,0.00072045922995381
"PPP1R14C",3245.35050761234,-0.189998218139618,0.0504966218197796,-3.76259265060768,0.000168160979669609,0.000721134962352796
"CFH",595.16438438106,-0.391903343386061,0.104192061814952,-3.76135510286853,0.00016899530892226,0.00072456696170897
"DIMT1",1202.03583966766,-0.225855904467881,0.0600503362683378,-3.76110973731492,0.000169161191214576,0.000725132191647669
"MOCS2",2157.17575658065,0.241352878419659,0.0641723442001828,3.76101078163468,0.000169228134707181,0.000725273164967624
"NTNG1",175.085169082586,-0.617087137988645,0.164079978286507,-3.7608923674473,0.000169308274626794,0.000725470627052758
"ABCF2",3892.96146188942,0.219906984938899,0.0584782513373747,3.76049180523892,0.00016957963035527,0.000726487187295479
"SLU7",2354.53505758952,0.333824353929411,0.0887808355680925,3.76009475235651,0.000169849012428443,0.00072749488509174
"ARMC4",43.6456868031718,-1.06228595091834,0.282580983613917,-3.75922660234532,0.000170439415017238,0.000729876891656365
"RIN1",1735.62257534393,-0.354181864722871,0.094223356791514,-3.75896037652916,0.000170620853546669,0.00073050697569961
"SRSF5",6339.97701075435,0.219199716704829,0.0583235039691141,3.75834272270247,0.000171042497627924,0.000732165031052116
"THAP11",830.469809662389,0.277590493422121,0.0738736861105817,3.75763696164552,0.000171525488186356,0.00073408496712553
"DDB1",12687.2078501613,0.20264408538016,0.0539353636926217,3.75716545706507,0.00017184887880574,0.000735321222231676
"MED11",455.674126076761,0.348957740744825,0.0928870571541083,3.7567961719992,0.000172102560538958,0.000736258764410939
"ALCAM",9812.19406941474,0.380835299350299,0.101396006400139,3.75592010840552,0.000172705785254968,0.000738542651162608
"NPM1",96604.4130738361,0.20690223631215,0.0550863939323047,3.75595898628635,0.000172678973284203,0.000738542651162608
"EXOSC6",1624.28982953412,-0.225484317621114,0.060055378725757,-3.75460653825511,0.000173613987934892,0.000742277351347411
"GLIS2",290.510693610363,-0.69680525169373,0.185637444265971,-3.75358136635077,0.000174325910669988,0.000745171536256135
"CATSPERB",33.6909182381915,1.22643210491623,0.326772331130858,3.75316998434943,0.000174612362894025,0.000746096484789556
"GTF3C2",2882.21910081797,0.242271933555196,0.0645512766439957,3.75317028803847,0.000174612151267047,0.000746096484789556
"BTF3",24339.3111330142,0.180047786070381,0.0479742927766229,3.75300552962223,0.000174726999296615,0.00074643654503926
"BCL7A",1724.68760506736,-0.228436522531848,0.0608802313291447,-3.75222822818826,0.000175269791061774,0.000748605188618442
"FBXW9",295.736930058268,-0.433025962628419,0.115408937300548,-3.75210077102376,0.000175358945940038,0.000748835795616411
"CASP1",687.421484499196,-0.296033670998314,0.0789320023492175,-3.75048981639382,0.000176489473160497,0.00075351239383038
"SMARCC2",4081.21935000542,0.213742494882056,0.0570090031401493,3.74927613374677,0.000177345728042439,0.000757016360872276
"AC006001.3",830.25664109563,-0.294906694361316,0.0786631149788904,-3.7489831726147,0.000177552997016214,0.000757749223338134
"HSPA4L",1598.35826183761,0.420024026207973,0.112056403204656,3.74832686215046,0.00017801816141393,0.00075958220105611
"CEP57",2661.96794672619,-0.285761387575507,0.0762463861874505,-3.7478679562985,0.000178344094472921,0.000760820479946978
"POGK",4001.48417387556,-0.191054227009216,0.0509985381843046,-3.74626869340375,0.000179484344582609,0.000765531464496544
"NDUFA6",1228.93319496394,0.272672668862597,0.0727880155958838,3.74612038301009,0.000179590434234727,0.000765830574181565
"PLAC1",28.6922021406544,1.32085752734747,0.352635372563547,3.74567508002745,0.000179909323539905,0.000767036827648811
"POLR3D",2424.19295082963,-0.235025299922185,0.0627494897608162,-3.74545356174269,0.000180068154905849,0.000767560333641904
"AIMP1",2998.94036466658,0.313472237013352,0.0836994838147554,3.74521111393151,0.00018024214411369,0.000768148229146517
"PVT1",571.567843447875,-0.357616521953357,0.095491080844339,-3.74502538657313,0.000180375535608454,0.000768562906426096
"RPL22",2657.47626225287,0.204014848983374,0.0544794788282346,3.7448017743819,0.000180536259567457,0.000769093855520818
"INTS9",856.0018729351,0.285518083156651,0.0762504516275491,3.74447727275485,0.000180769738524401,0.000769934470323127
"AP4M1",519.813582418716,0.344458850327185,0.0920101950474193,3.74370307713902,0.000181327919482615,0.000772157443171718
"AAAS",2211.77087702713,0.295032070381014,0.0788129395552584,3.74344710457294,0.000181512827224176,0.000772790317586175
"RPL7P9",751.895585739546,0.357083570569369,0.0954141856635955,3.74245787548141,0.00018222908758253,0.000775684719000112
"AL023284.4",22.0463869382211,1.48221777264973,0.39613851146725,3.74166542697344,0.000182804783209278,0.000777979748845882
"DLK2",605.594513475612,-0.30008406486207,0.0802045109133153,-3.74148612646488,0.000182935277896411,0.000778379556060335
"ELP4",919.289059679314,0.33265786272543,0.0889128594666031,3.7413920182196,0.000183003804800622,0.000778515586702766
"AC005332.3",57.2113585925602,0.908935391255261,0.242984790975775,3.74070898678543,0.000183501892233677,0.000780361284801832
"GUCD1",2775.96383140609,0.251994849890043,0.0673660623727105,3.74067952043646,0.000183523408647485,0.000780361284801832
"ZNF503-AS2",48.5129062749913,1.00989344915226,0.269978325228463,3.74064639558626,0.000183547599341303,0.000780361284801832
"GNB3",4.40451007322632,5.23668226545932,1.40020775721576,3.73993233395034,0.000184069799635499,0.000782425240127265
"PRR34-AS1",63.891578290031,-0.936868246572201,0.250573424411312,-3.73889708684489,0.000184829366795233,0.000785497145334519
"KIFAP3",1925.44445149444,0.278520798980401,0.0745010537859511,3.73848133451399,0.000185135235284927,0.000786640057986395
"CINP",1230.48978817462,0.254008145510802,0.0679545007183858,3.73791496995102,0.000185552674675762,0.000788256485117698
"ARHGEF1",4188.89512368952,-0.29224469269946,0.0781874909001914,-3.73774230806969,0.000185680111113664,0.000788640535755203
"FOXD2-AS1",164.695254807603,0.536173129069359,0.143471576032146,3.73713835100845,0.000186126520804529,0.000790378940588882
"TAF9B",945.433909472025,0.39900958130706,0.10680502848405,3.73586887219122,0.00018706813618671,0.000794219104511999
"CBLN3",63.840226344709,-0.808820995867813,0.21654878869464,-3.73505204413011,0.000187676370681851,0.00079664261312352
"BOLA1",214.901182322445,-0.510898095933616,0.136809691263743,-3.73437065177423,0.000188185177309243,0.000798541351406579
"RIPOR1",3737.10726858544,-0.269812403119979,0.0722514535565815,-3.73435259553198,0.000188198677813187,0.000798541351406579
"ORMDL3",1141.73589680583,0.299029076833204,0.0800790256515982,3.73417476548975,0.000188331688516481,0.000798946541563142
"XYLT2",2487.38308697847,-0.296470791408279,0.079401310585142,-3.73382742959102,0.000188591738592557,0.000799890393361303
"ZFYVE27",1202.04565741685,-0.300041788273468,0.0803888671662773,-3.7323798537036,0.000189679176093354,0.000804342440080461
"KRT16",48.6314547456894,-0.910362488890414,0.243916926390398,-3.73226451465425,0.000189766073269497,0.000804550725930165
"LAMC1",15237.1364503662,-0.183431738017128,0.0491737200516588,-3.73027986949993,0.00019126719116774,0.000810753603325676
"EXT1",5640.43468636949,-0.164001426850892,0.0439666997329078,-3.73012820719273,0.000191382361161216,0.000811080350903334
"EEF1B2",12558.6200182376,-0.16462494985047,0.0441411192734619,-3.72951462400829,0.000191848972228202,0.000812896082883365
"LMO2",49.5822809518294,-1.02579287321121,0.275308159810922,-3.72598063898909,0.000194557338414841,0.000824207893153463
"ATG2B",1940.14724932569,-0.303498817839057,0.0814567422762705,-3.72588946424721,0.000194627685815346,0.000824341924646701
"ANKH",1545.07680849811,0.214035156049739,0.0574471481155251,3.72577513542218,0.000194715931914853,0.000824551697367012
"AGO2",4839.21865504031,0.216623478929153,0.0581515895536153,3.72515146347682,0.000195197983069718,0.000826428677425989
"ZBTB42",96.0130853773088,0.796403830985381,0.213830452986984,3.72446403148132,0.000195730615046713,0.000828519017697237
"EML1",301.750487825297,-0.41977864479398,0.112745622960048,-3.72323673214994,0.000196684940987042,0.000832393184272666
"LBX2",16.5920793528837,-1.98543815056519,0.533489293774515,-3.72160823794217,0.00019795797948027,0.000837614371351445
"SHANK2",563.791662535032,-0.393513731097254,0.105763380319188,-3.72069926197188,0.000198671913402178,0.00084046822960127
"FAM50B",95.8840511221978,-0.763562477808743,0.205235314980248,-3.72042442053517,0.000198888257048157,0.000841216349969724
"ERVK13-1",330.627250681533,0.451141062156594,0.121279379879597,3.71984967769852,0.000199341386101597,0.000842965480226294
"AC012513.3",190.972983897828,0.486627996105512,0.130828952745557,3.71957419128724,0.000199558924163544,0.000843717857650752
"ATP6V0B",2905.59821765329,-0.243129513870827,0.0653897554587365,-3.71815909334989,0.00020067987713123,0.00084828873826651
"ATP6V0E1",4015.9814497658,0.19687979627759,0.0529561376439491,3.71778994913324,0.00020097326165827,0.000849360305670674
"LYPD6B",23.9805568980801,-1.38064030692184,0.37136639419113,-3.71773086772971,0.000201020255140436,0.000849390347910858
"C5orf22",1185.16196841356,-0.377388753484515,0.101522578453163,-3.71728889508673,0.000201372128788904,0.000850708362366298
"MIEF1",3035.22438772845,-0.208430431808247,0.0560838698534183,-3.71640602463782,0.000202076753471155,0.000853515775867062
"PDE4D",434.167238013052,-0.48262942809058,0.129897228588406,-3.71547132556498,0.000202825266720047,0.000856507412268514
"ATPAF1",1568.02256244767,0.211106589782805,0.056849160221,3.71345133265174,0.000204451796250262,0.000863204887578427
"DNAH3",79.2334963864673,0.857073316694506,0.230807802680454,3.71336370235756,0.000204522634067299,0.000863332807749694
"EEF2KMT",614.885154114065,-0.298862790779722,0.0805058030039507,-3.71231364234769,0.000205373267769779,0.00086675170638629
